고객ID,last_ord_date,Recency,Frequency,Monetary,Recency_Grade,Frequency_Grade,Monetary_Grade,is_back_up_down,co_purchase_up_down,cohort_is_back_score,cohort_co_purchase_score
USER_0046,2019-11-20,41,160,12398.5761,4,4,4,1,2,상,상
USER_0047,2019-12-16,15,30,5140.7441,4,2,3,0,0,중,중
USER_0048,2019-07-27,157,1,17.161500000000004,2,1,1,2,3,중,중
USER_0049,2019-09-18,104,29,1740.2665,3,2,2,0,1,중,중
USER_0050,2019-07-13,171,16,1582.8292000000001,2,2,2,2,3,중,중
USER_0051,2019-08-22,131,7,616.1962,3,1,1,1,2,중,중
USER_0052,2019-08-14,139,16,711.525,2,2,1,1,2,중,중
USER_0053,2019-09-15,107,10,1987.6462,3,1,2,0,1,중,중
USER_0054,2019-11-27,34,31,5153.6114,4,2,3,0,0,중,중
USER_0055,2019-08-02,151,13,1575.5184,2,2,2,1,2,중,중
USER_0056,2019-11-08,53,186,21419.3066,4,4,4,1,2,상,상
USER_0057,2019-12-10,21,64,5073.772,4,3,3,3,4,상,상
USER_0058,2019-06-26,188,10,1948.9468000000002,2,1,2,2,3,중,중
USER_0059,2019-10-23,69,39,1950.8967,3,3,2,1,2,중,중
USER_0060,2019-08-17,136,9,384.0916,2,1,1,5,7,중,중
USER_0061,2019-12-11,20,22,3234.125,4,2,3,0,0,중,중
USER_0062,2019-12-21,10,145,13679.717200000001,4,4,4,5,7,상,상
USER_0063,2019-11-16,45,11,1956.5230000000001,4,1,2,0,0,중,중
USER_0064,2019-06-12,202,67,7290.0408,2,3,3,2,3,중,중
USER_0065,2019-11-05,56,75,6054.3412,3,3,3,2,3,중,중
USER_0066,2019-08-02,151,42,3429.1876,2,3,3,6,6,중,중
USER_0067,2019-07-24,160,74,4897.8098,2,3,3,2,3,중,중
USER_0068,2019-03-04,302,1,28.9082,1,1,1,4,3,하,하
USER_0069,2019-11-02,59,25,3982.4449999999997,3,2,3,0,0,중,중
USER_0070,2019-09-30,92,12,1000.2117,3,1,1,0,1,중,중
USER_0071,2019-12-16,15,15,977.4902,4,2,1,5,7,중,중
USER_0072,2019-08-17,136,9,680.7393999999999,2,1,1,1,2,중,중
USER_0073,2019-04-19,256,3,330.7242,1,1,1,2,3,하,하
USER_0074,2019-10-27,65,16,470.203,3,2,1,0,0,중,중
USER_0075,2019-06-27,187,33,3072.944,2,2,3,2,3,중,중
USER_0076,2019-12-16,15,58,7011.804,4,3,3,0,0,상,상
USER_0077,2019-12-04,27,66,5418.724,4,3,3,0,1,상,상
USER_0078,2019-11-05,56,75,5290.3593,3,3,3,0,1,중,중
USER_0079,2019-08-18,135,2,83.7322,2,1,1,1,2,중,중
USER_0080,2019-11-10,51,16,2773.3209,4,2,2,0,0,중,중
USER_0081,2019-06-26,188,53,4657.1542,2,3,3,5,7,중,중
USER_0082,2019-04-18,257,2,29.8412,1,1,1,2,3,하,하
USER_0083,2019-08-09,144,8,1451.4004000000002,2,1,2,1,2,중,중
USER_0084,2019-10-05,87,51,3417.5950000000003,3,3,3,1,2,중,중
USER_0085,2019-12-19,12,33,2988.6595,4,2,3,6,6,중,중
USER_0086,2019-10-02,90,5,850.8382,3,1,1,0,0,중,중
USER_0087,2019-09-19,103,4,141.654,3,1,1,1,2,중,중
USER_0088,2019-06-09,205,2,56.8164,2,1,1,2,3,중,중
USER_0089,2019-11-30,31,74,8019.3892000000005,4,3,3,2,3,상,상
USER_0090,2019-08-30,123,10,349.15700000000004,3,1,1,1,2,중,중
USER_0091,2019-09-09,113,23,2066.0486,3,2,2,0,1,중,중
USER_0092,2019-12-10,21,12,1559.7025,4,1,2,0,0,중,중
USER_0093,2019-07-12,172,5,253.2297,2,1,1,2,3,중,중
USER_0094,2019-12-03,28,223,19512.9636,4,4,4,4,3,상,상
USER_0095,2019-12-11,20,126,13805.768100000001,4,4,4,5,7,상,상
USER_0096,2019-09-30,92,74,9172.9169,3,3,3,2,3,중,중
USER_0097,2019-01-31,334,7,1136.6844,1,1,2,6,6,하,하
USER_0098,2019-10-27,65,14,725.8244,3,2,1,2,3,중,중
USER_0099,2019-10-14,78,9,1890.1574,3,1,2,0,0,중,중
USER_0100,2019-06-28,186,30,2013.1893,2,2,2,2,3,중,중
USER_0101,2019-08-30,123,33,3336.8994000000002,3,2,3,4,3,중,중
USER_0102,2019-11-08,53,33,3671.9218,4,2,3,4,3,중,중
USER_0103,2019-12-21,10,47,4493.0008,4,3,3,5,7,상,상
USER_0104,2019-11-27,34,65,8042.9116,4,3,3,4,3,상,상
USER_0105,2019-07-06,178,18,2359.4533,2,2,2,2,3,중,중
USER_0106,2019-08-21,132,11,652.028,2,1,1,1,2,중,중
USER_0107,2019-02-09,325,22,2417.5405,1,2,2,5,7,하,하
USER_0108,2019-11-17,44,25,2308.5016,4,2,2,2,3,중,중
USER_0109,2019-10-11,81,12,1063.1822,3,1,2,0,0,중,중
USER_0110,2019-08-19,134,13,716.3736,2,2,1,1,2,중,중
USER_0111,2019-11-27,34,59,11125.1492,4,3,3,2,3,상,상
USER_0112,2019-07-13,171,4,118.18180000000001,2,1,1,2,3,중,중
USER_0113,2019-11-20,41,43,3584.2699000000002,4,3,3,2,3,상,상
USER_0114,2019-08-16,137,4,191.38299999999998,2,1,1,1,2,중,중
USER_0115,2019-01-30,335,11,2031.2278000000001,1,1,2,6,6,하,하
USER_0116,2019-10-24,68,53,7751.8642,3,3,3,0,0,중,중
USER_0117,2019-09-28,94,20,2058.6307,3,2,2,4,3,중,중
USER_0118,2019-09-15,107,686,66060.0029,3,4,4,6,6,중,중
USER_0119,2019-08-01,152,52,2796.1186,2,3,2,3,4,중,중
USER_0120,2019-12-21,10,37,4432.709,4,3,3,0,0,상,상
USER_0121,2019-04-12,263,1,65.47639999999998,1,1,1,2,3,하,하
USER_0122,2019-03-02,304,16,1298.531,1,2,2,4,3,하,하
USER_0123,2019-11-06,55,45,6313.9808,4,3,3,0,0,상,상
USER_0124,2019-08-11,142,88,5233.8938,2,3,3,2,3,중,중
USER_0125,2019-12-18,13,13,1593.4204,4,2,2,0,0,중,중
USER_0126,2019-12-01,30,9,668.8362,4,1,1,0,0,중,중
USER_0127,2019-12-24,7,42,2924.2768,4,3,3,5,7,상,상
USER_0128,2019-10-28,64,56,4900.8553,3,3,3,2,3,중,중
USER_0129,2019-04-30,245,14,943.8999,1,2,1,2,3,하,하
USER_0130,2019-01-03,362,2,168.73239999999998,1,1,1,6,6,하,하
USER_0131,2019-08-09,144,24,2807.4385,2,2,3,5,7,중,중
USER_0132,2019-06-02,212,17,511.2956,2,2,1,2,3,중,중
USER_0133,2019-03-04,302,7,671.9954,1,1,1,4,3,하,하
USER_0134,2019-09-11,111,11,811.0962000000001,3,1,1,0,1,중,중
USER_0135,2019-11-08,53,48,6864.5592,4,3,3,2,3,상,상
USER_0136,2019-10-03,89,12,1204.942,3,1,2,2,3,중,중
USER_0137,2019-12-06,25,39,3652.7616,4,3,3,0,0,상,상
USER_0138,2019-01-05,360,57,4205.3016,1,3,3,6,6,중,중
USER_0139,2019-06-29,185,36,3826.1051,2,3,3,4,3,중,중
USER_0140,2019-11-27,34,109,12881.8233,4,3,4,5,7,상,상
USER_0141,2019-12-23,8,14,3149.0935,4,2,3,0,0,중,중
USER_0142,2019-12-03,28,23,2355.9799000000003,4,2,2,0,0,중,중
USER_0143,2019-10-24,68,35,4122.8032,3,3,3,0,0,중,중
USER_0144,2019-01-17,348,3,998.863,1,1,1,6,6,하,하
USER_0145,2019-06-05,209,1,267.8,2,1,1,2,3,중,중
USER_0146,2019-06-02,212,58,4417.6802,2,3,3,2,3,중,중
USER_0147,2019-11-12,49,43,4150.7761,4,3,3,6,6,상,상
USER_0148,2019-04-06,269,2,69.11699999999999,1,1,1,2,3,하,하
USER_0149,2019-09-07,115,65,4310.1699,3,3,3,2,3,중,중
USER_0150,2019-05-06,239,1,7.32,1,1,1,3,4,하,하
USER_0151,2019-08-31,122,17,1665.0391,3,2,2,2,3,중,중
USER_0152,2019-11-29,32,2,263.8,4,1,1,0,0,중,중
USER_0153,2019-03-18,288,4,106.8184,1,1,1,4,3,하,하
USER_0154,2019-01-22,343,13,1333.8716,1,2,2,6,6,하,하
USER_0155,2019-10-06,86,40,4664.8284,3,3,3,0,0,중,중
USER_0156,2019-07-20,164,59,7080.424800000001,2,3,3,6,6,중,중
USER_0157,2019-09-05,117,2,29.5543,3,1,1,0,1,중,중
USER_0158,2019-06-11,203,17,446.6506,2,2,1,2,3,중,중
USER_0159,2019-12-06,25,8,1033.7866000000001,4,1,2,0,0,중,중
USER_0160,2019-06-29,185,2,34.6772,2,1,1,2,3,중,중
USER_0161,2019-10-16,76,27,9110.8568,3,2,3,0,0,중,중
USER_0162,2019-08-08,145,6,290.4497,2,1,1,1,2,중,중
USER_0163,2019-04-11,264,16,946.3935,1,2,1,2,3,하,하
USER_0164,2019-07-06,178,14,1236.9166,2,2,2,2,3,중,중
USER_0165,2019-10-27,65,35,4826.0766,3,3,3,6,6,중,중
USER_0166,2019-10-12,80,20,1088.4206,3,2,2,1,2,중,중
USER_0167,2019-12-31,0,19,3408.3455,4,2,3,0,0,중,중
USER_0168,2019-08-01,152,31,1402.9702,2,2,2,2,3,중,중
USER_0169,2019-04-11,264,16,1066.6111,1,2,2,2,3,하,하
USER_0170,2019-06-23,191,19,1800.4606,2,2,2,6,6,중,중
USER_0171,2019-10-04,88,8,625.482,3,1,1,0,0,중,중
USER_0172,2019-12-19,12,47,4983.8652,4,3,3,6,6,상,상
USER_0173,2019-08-23,130,6,1397.8511,3,1,2,2,3,중,중
USER_0174,2019-09-05,117,2,191.858,3,1,1,2,3,중,중
USER_0175,2019-12-14,17,3,603.8775,4,1,1,0,0,중,중
USER_0176,2019-11-21,40,18,1035.0706,4,2,2,0,0,중,중
USER_0177,2019-04-24,251,11,1028.6913,1,1,2,2,3,하,하
USER_0178,2019-10-27,65,36,3113.3722000000002,3,3,3,0,1,중,중
USER_0179,2019-10-27,65,7,976.4410000000001,3,1,1,0,0,중,중
USER_0180,2019-11-10,51,72,6767.421,4,3,3,2,3,상,상
USER_0181,2019-09-28,94,15,2406.569,3,2,2,3,4,중,중
USER_0182,2019-01-30,335,3,271.1008,1,1,1,6,6,하,하
USER_0183,2019-02-03,331,67,6337.6072,1,3,3,5,7,중,중
USER_0184,2019-06-13,201,7,624.9932,2,1,1,2,3,중,중
USER_0185,2019-07-07,177,6,363.545,2,1,1,2,3,중,중
USER_0186,2019-07-12,172,1,16.4895,2,1,1,2,3,중,중
USER_0187,2019-03-15,291,60,2938.4124,1,3,3,4,3,중,중
USER_0188,2019-06-27,187,11,741.78,2,1,1,2,3,중,중
USER_0189,2019-02-28,306,11,268.3034,1,1,1,5,7,하,하
USER_0190,2019-12-18,13,44,3676.4429,4,3,3,6,6,상,상
USER_0191,2019-09-06,116,39,3066.6592,3,3,3,0,1,중,중
USER_0192,2019-10-27,65,7,291.0606,3,1,1,0,0,중,중
USER_0193,2019-12-27,4,102,11614.466100000001,4,3,4,4,3,상,상
USER_0194,2019-09-06,116,9,264.6133,3,1,1,0,1,중,중
USER_0195,2019-01-16,349,14,1704.6034,1,2,2,6,6,하,하
USER_0196,2019-10-11,81,1,7.1,3,1,1,0,0,중,중
USER_0197,2019-12-28,3,138,10378.751,4,4,3,5,7,상,상
USER_0198,2019-04-07,268,14,1849.612,1,2,2,2,3,하,하
USER_0199,2019-11-10,51,53,4206.5046,4,3,3,4,3,상,상
USER_0200,2019-08-31,122,259,22532.561,3,4,4,5,7,중,중
USER_0201,2019-07-24,160,7,1174.0682,2,1,2,2,3,중,중
USER_0202,2019-12-11,20,363,30821.625500000002,4,4,4,5,7,상,상
USER_0203,2019-09-30,92,13,1624.4504,3,2,2,6,6,중,중
USER_0204,2019-06-07,207,7,368.99350000000004,2,1,1,2,3,중,중
USER_0205,2019-12-12,19,143,14200.5941,4,4,4,6,6,상,상
USER_0206,2019-07-31,153,5,498.9688,2,1,1,4,3,중,중
USER_0207,2019-07-26,158,52,3830.1482,2,3,3,2,3,중,중
USER_0208,2019-11-03,58,21,2699.6242,3,2,2,0,0,중,중
USER_0209,2019-12-24,7,92,9356.9542,4,3,3,2,3,상,상
USER_0210,2019-07-06,178,1,136.9,2,1,1,2,3,중,중
USER_0211,2019-09-04,118,22,2230.5068,3,2,2,1,2,중,중
USER_0212,2019-01-18,347,10,623.0708,1,1,1,6,6,하,하
USER_0213,2019-12-10,21,20,1188.5594,4,2,2,0,0,중,중
USER_0214,2019-12-24,7,57,6687.3093,4,3,3,2,3,상,상
USER_0215,2019-08-01,152,2,288.6816,2,1,1,2,3,중,중
USER_0216,2019-10-17,75,34,2470.2757,3,3,2,6,6,중,중
USER_0217,2019-06-10,204,60,4367.8724,2,3,3,2,3,중,중
USER_0218,2019-08-17,136,32,2724.6812,2,2,2,4,3,중,중
USER_0219,2019-04-19,256,3,266.8764,1,1,1,2,3,하,하
USER_0220,2019-12-22,9,48,8458.8146,4,3,3,0,0,상,상
USER_0221,2019-01-26,339,13,1025.1858,1,2,2,6,6,하,하
USER_0222,2019-04-07,268,16,804.3674,1,2,1,2,3,하,하
USER_0223,2019-12-10,21,32,3813.8924,4,2,3,0,0,중,중
USER_0224,2019-08-17,136,3,55.7482,2,1,1,1,2,중,중
USER_0225,2019-01-30,335,1,25.97,1,1,1,6,6,하,하
USER_0226,2019-11-25,36,130,20475.0574,4,4,4,2,3,상,상
USER_0227,2019-09-08,114,63,7065.306500000001,3,3,3,4,3,중,중
USER_0228,2019-10-18,74,18,2901.288,3,2,3,0,0,중,중
USER_0229,2019-11-24,37,8,555.7194,4,1,1,0,0,중,중
USER_0230,2019-08-22,131,40,3999.3484000000003,3,3,3,1,2,중,중
USER_0231,2019-07-14,170,13,976.0742,2,2,1,2,3,중,중
USER_0232,2019-10-26,66,74,4655.9022,3,3,3,0,0,중,중
USER_0233,2019-03-23,283,22,3189.3817999999997,1,2,3,4,3,중,중
USER_0234,2019-11-13,48,239,24416.0157,4,4,4,4,3,상,상
USER_0235,2019-05-25,220,32,2226.9113,2,2,2,3,4,중,중
USER_0236,2019-08-07,146,20,2248.8234,2,2,2,1,2,중,중
USER_0237,2019-08-01,152,37,1553.6193,2,3,2,1,2,중,중
USER_0238,2019-10-24,68,77,6662.0191,3,3,3,3,4,중,중
USER_0239,2019-12-13,18,16,2213.9352,4,2,2,4,3,중,중
USER_0240,2019-12-20,11,26,2731.2742000000003,4,2,2,0,0,중,중
USER_0241,2019-09-12,110,21,544.5918,3,2,1,3,4,중,중
USER_0242,2019-05-21,224,2,77.5932,1,1,1,3,4,하,하
USER_0243,2019-06-07,207,35,2924.7159,2,3,3,2,3,중,중
USER_0244,2019-07-26,158,12,631.1052999999999,2,1,1,3,4,중,중
USER_0245,2019-12-20,11,84,10523.9363,4,3,3,2,3,상,상
USER_0246,2019-08-06,147,17,1542.5292,2,2,2,1,2,중,중
USER_0247,2019-05-31,214,5,573.9362,2,1,1,3,4,중,중
USER_0248,2019-04-14,261,21,1713.5258000000001,1,2,2,2,3,하,하
USER_0249,2019-09-13,109,40,2739.2655,3,3,2,1,2,중,중
USER_0250,2019-07-19,165,16,614.6345,2,2,1,2,3,중,중
USER_0251,2019-01-05,360,6,1450.2116,1,1,2,6,6,하,하
USER_0252,2019-09-18,104,39,3060.8761,3,3,3,0,1,중,중
USER_0253,2019-06-12,202,1,67.4706,2,1,1,2,3,중,중
USER_0254,2019-08-23,130,42,5242.7567,3,3,3,4,3,중,중
USER_0255,2019-05-18,227,28,3547.7712,1,2,3,5,7,중,중
USER_0256,2019-04-07,268,1,93.4,1,1,1,2,3,하,하
USER_0257,2019-11-15,46,76,8363.7358,4,3,3,1,2,상,상
USER_0258,2019-09-30,92,14,922.931,3,2,1,1,2,중,중
USER_0259,2019-06-05,209,11,905.5808,2,1,1,6,6,중,중
USER_0260,2019-07-15,169,21,858.9036000000001,2,2,1,2,3,중,중
USER_0261,2019-01-20,345,5,549.3077,1,1,1,6,6,하,하
USER_0262,2019-12-23,8,34,4952.497600000001,4,3,3,0,0,상,상
USER_0263,2019-10-23,69,29,2555.0982,3,2,2,0,1,중,중
USER_0264,2019-07-16,168,17,563.667,2,2,1,2,3,중,중
USER_0265,2019-06-13,201,14,1430.6182000000001,2,2,2,2,3,중,중
USER_0266,2019-07-17,167,98,7707.4392,2,3,3,4,3,중,중
USER_0267,2019-11-27,34,9,1948.4464,4,1,2,3,4,중,중
USER_0268,2019-04-19,256,21,1020.8507999999999,1,2,2,2,3,하,하
USER_0269,2019-11-13,48,16,1832.1398,4,2,2,0,0,중,중
USER_0270,2019-07-08,176,9,697.9452,2,1,1,4,3,중,중
USER_0271,2019-11-17,44,13,1501.8292,4,2,2,0,0,중,중
USER_0272,2019-07-28,156,1,166.60500000000002,2,1,1,2,3,중,중
USER_0273,2019-07-08,176,19,1919.4868000000001,2,2,2,2,3,중,중
USER_0274,2019-04-08,267,44,3951.4918000000002,1,3,3,6,6,중,중
USER_0275,2019-08-30,123,34,3214.3752,3,3,3,1,2,중,중
USER_0276,2019-12-16,15,16,1442.8194,4,2,2,0,0,중,중
USER_0277,2019-11-27,34,16,2655.2686,4,2,2,0,0,중,중
USER_0278,2019-07-18,166,8,627.5312000000001,2,1,1,2,3,중,중
USER_0279,2019-01-30,335,17,1657.0992,1,2,2,6,6,하,하
USER_0280,2019-10-27,65,6,342.55420000000004,3,1,1,0,0,중,중
USER_0281,2019-11-29,32,78,9791.5314,4,3,3,6,6,상,상
USER_0282,2019-06-08,206,49,4491.2848,2,3,3,6,6,중,중
USER_0283,2019-08-02,151,32,1268.0366000000001,2,2,2,2,3,중,중
USER_0284,2019-05-21,224,36,3031.4684,1,3,3,6,6,중,중
USER_0285,2019-08-11,142,48,2165.3853,2,3,2,1,2,중,중
USER_0286,2019-09-04,118,36,3636.0437,3,3,3,2,3,중,중
USER_0287,2019-09-18,104,87,4614.9577,3,3,3,2,3,중,중
USER_0288,2019-12-12,19,76,7245.6614,4,3,3,6,6,상,상
USER_0289,2019-08-28,125,13,690.7624,3,2,1,1,2,중,중
USER_0290,2019-03-16,290,1,15.784,1,1,1,4,3,하,하
USER_0291,2019-07-12,172,11,410.8778,2,1,1,2,3,중,중
USER_0292,2019-12-20,11,148,12924.449100000002,4,4,4,4,3,상,상
USER_0293,2019-12-12,19,42,4925.7879,4,3,3,6,6,상,상
USER_0294,2019-12-06,25,18,1349.2559,4,2,2,0,0,중,중
USER_0295,2019-06-05,209,26,2328.9758,2,2,2,4,3,중,중
USER_0296,2019-06-21,193,27,1814.9152,2,2,2,2,3,중,중
USER_0297,2019-03-06,300,10,1105.5044,1,1,2,4,3,하,하
USER_0298,2019-09-26,96,4,154.6122,3,1,1,0,1,중,중
USER_0299,2019-12-02,29,29,4326.309,4,2,3,5,7,중,중
USER_0300,2019-09-22,100,31,4282.3576,3,2,3,5,7,중,중
USER_0301,2019-04-06,269,30,1937.6971,1,2,2,2,3,하,하
USER_0302,2019-09-08,114,5,79.3738,3,1,1,0,1,중,중
USER_0303,2019-04-07,268,11,3044.5922,1,1,3,2,3,하,하
USER_0304,2019-11-14,47,51,3365.6234,4,3,3,2,3,상,상
USER_0305,2019-11-17,44,3,38.7326,4,1,1,0,0,중,중
USER_0306,2019-12-19,12,11,1360.9469000000001,4,1,2,0,0,중,중
USER_0307,2019-10-16,76,4,1125.1742,3,1,2,0,0,중,중
USER_0308,2019-11-17,44,8,355.7802,4,1,1,0,0,중,중
USER_0309,2019-07-11,173,82,8816.0269,2,3,3,4,3,중,중
USER_0310,2019-08-11,142,13,1117.1601,2,2,2,1,2,중,중
USER_0311,2019-03-21,285,24,2159.7898999999998,1,2,2,4,3,하,하
USER_0312,2019-12-14,17,34,2445.5814,4,3,2,6,6,중,중
USER_0313,2019-03-02,304,9,591.2242,1,1,1,4,3,하,하
USER_0314,2019-12-19,12,10,1043.5561,4,1,2,0,0,중,중
USER_0315,2019-12-29,2,24,3309.7991,4,2,3,0,0,중,중
USER_0316,2019-08-07,146,39,2926.397,2,3,3,1,2,중,중
USER_0317,2019-09-04,118,30,2088.4817,3,2,2,4,3,중,중
USER_0318,2019-12-02,29,18,2358.1437,4,2,2,0,0,중,중
USER_0319,2019-12-06,25,3,414.6603,4,1,1,0,0,중,중
USER_0320,2019-06-03,211,15,1319.7163000000003,2,2,2,2,3,중,중
USER_0321,2019-08-28,125,9,678.3947000000001,3,1,1,1,2,중,중
USER_0322,2019-11-27,34,24,2286.6624,4,2,2,0,0,중,중
USER_0323,2019-06-25,189,20,2206.025,2,2,2,2,3,중,중
USER_0324,2019-12-10,21,8,1230.0121,4,1,2,2,3,중,중
USER_0325,2019-09-06,116,38,1462.1137,3,3,2,0,1,중,중
USER_0326,2019-04-07,268,15,782.5059,1,2,1,2,3,하,하
USER_0327,2019-03-04,302,18,591.124,1,2,1,4,3,하,하
USER_0328,2019-07-31,153,31,2423.4013999999997,2,2,2,2,3,중,중
USER_0329,2019-10-07,85,62,5004.6441,3,3,3,0,0,중,중
USER_0330,2019-12-19,12,61,5385.435100000001,4,3,3,3,4,상,상
USER_0331,2019-08-19,134,6,295.5052,2,1,1,1,2,중,중
USER_0332,2019-08-02,151,91,7300.1612000000005,2,3,3,2,3,중,중
USER_0333,2019-09-18,104,4,67.9354,3,1,1,0,1,중,중
USER_0334,2019-12-20,11,104,6891.8445,4,3,3,6,6,상,상
USER_0335,2019-09-06,116,26,1622.9025,3,2,2,0,1,중,중
USER_0336,2019-10-23,69,1,281.79,3,1,1,0,0,중,중
USER_0337,2019-01-03,362,9,788.9594000000001,1,1,1,6,6,하,하
USER_0338,2019-11-20,41,32,4734.0898,4,2,3,0,0,중,중
USER_0339,2019-11-21,40,30,2430.5332000000003,4,2,2,0,0,중,중
USER_0340,2019-08-01,152,99,8015.0523,2,3,3,6,6,중,중
USER_0341,2019-12-23,8,41,5421.1296,4,3,3,0,0,상,상
USER_0342,2019-12-12,19,9,1104.3323,4,1,2,0,0,중,중
USER_0343,2019-10-11,81,95,9069.6874,3,3,3,0,0,중,중
USER_0344,2019-01-03,362,1,175.58100000000002,1,1,1,6,6,하,하
USER_0345,2019-01-01,364,1,7.9632,1,1,1,6,6,하,하
USER_0346,2019-08-02,151,1,9.2922,2,1,1,1,2,중,중
USER_0347,2019-11-03,58,8,1120.9404000000002,3,1,2,0,0,중,중
USER_0348,2019-06-13,201,16,1957.7326000000003,2,2,2,4,3,중,중
USER_0349,2019-08-08,145,33,2540.3296,2,2,2,6,6,중,중
USER_0350,2019-07-30,154,69,4859.778600000001,2,3,3,2,3,중,중
USER_0351,2019-08-16,137,73,7127.9649,2,3,3,6,6,중,중
USER_0352,2019-10-05,87,31,3336.7407000000003,3,2,3,4,3,중,중
USER_0353,2019-12-13,18,67,7937.8694000000005,4,3,3,6,6,상,상
USER_0354,2019-09-05,117,36,3820.3131000000003,3,3,3,0,1,중,중
USER_0355,2019-12-08,23,6,348.3501,4,1,1,1,2,중,중
USER_0356,2019-03-23,283,7,628.3611,1,1,1,4,3,하,하
USER_0357,2019-05-01,244,7,459.55740000000003,1,1,1,3,4,하,하
USER_0358,2019-10-11,81,122,11257.3945,3,4,4,6,6,중,중
USER_0359,2019-12-18,13,33,3845.0284,4,2,3,0,0,중,중
USER_0360,2019-12-06,25,22,1498.7866,4,2,2,3,4,중,중
USER_0361,2019-03-26,280,7,1444.3764,1,1,2,4,3,하,하
USER_0362,2019-10-22,70,50,6933.8884,3,3,3,0,0,중,중
USER_0363,2019-07-14,170,9,197.7996,2,1,1,2,3,중,중
USER_0364,2019-12-19,12,24,3541.719,4,2,3,0,0,중,중
USER_0365,2019-12-13,18,11,1022.4464,4,1,2,0,0,중,중
USER_0366,2019-06-12,202,1,26.0482,2,1,1,2,3,중,중
USER_0367,2019-02-16,318,2,359.6682,1,1,1,5,7,하,하
USER_0368,2019-10-30,62,9,1297.5416000000002,3,1,2,0,0,중,중
USER_0369,2019-02-11,323,50,6037.8554,1,3,3,5,7,중,중
USER_0370,2019-12-19,12,54,5486.1363,4,3,3,4,3,상,상
USER_0371,2019-06-02,212,28,1571.8254000000002,2,2,2,2,3,중,중
