고객ID,거래날짜,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,trade_month
USER_0118,2019-09-15,107,695,74601.36,3,4,4,344,충성고객,2019-09
USER_0119,2019-08-01,152,52,1979.47,2,4,3,243,기타,2019-08
USER_0120,2019-12-21,10,37,3721.9,4,3,3,433,기타,2019-12
USER_0121,2019-04-12,263,1,49.98,1,1,1,111,이탈고객,2019-04
USER_0122,2019-03-02,304,16,1080.69,1,2,2,122,기타,2019-03
USER_0123,2019-11-06,55,45,5447.88,4,3,4,434,충성고객,2019-11
USER_0124,2019-08-11,142,88,4114.4,2,4,4,244,충성고객,2019-08
USER_0125,2019-12-18,13,13,1401.16,4,2,2,422,기타,2019-12
USER_0126,2019-12-01,30,9,529.59,4,1,1,411,기타,2019-12
USER_0127,2019-12-24,7,42,2355.4700000000003,4,3,3,433,기타,2019-12
USER_0128,2019-10-28,64,56,4045.21,3,4,4,344,충성고객,2019-10
USER_0129,2019-04-30,245,14,700.21,1,2,2,122,기타,2019-04
USER_0130,2019-01-03,362,2,140.3,1,1,1,111,이탈고객,2019-01
USER_0131,2019-08-09,144,24,2315.97,2,3,3,233,기타,2019-08
USER_0132,2019-06-02,212,17,355.34000000000003,2,2,1,221,기타,2019-06
USER_0133,2019-03-04,302,7,557.99,1,1,1,111,이탈고객,2019-03
USER_0134,2019-09-11,111,11,633.02,3,2,1,321,기타,2019-09
USER_0135,2019-11-08,53,49,7699.88,4,4,4,444,VIP고객,2019-11
USER_0136,2019-10-03,89,12,1023.26,3,2,2,322,기타,2019-10
USER_0137,2019-12-06,25,39,2884.55,4,3,3,433,기타,2019-12
USER_0138,2019-01-05,360,59,4323.49,1,4,4,144,놓치면 안되는 고객,2019-01
USER_0139,2019-06-29,185,37,3602.29,2,3,3,233,기타,2019-06
USER_0140,2019-11-27,34,110,11711.93,4,4,4,444,VIP고객,2019-11
USER_0141,2019-12-23,8,14,2785.79,4,2,3,423,기타,2019-12
USER_0142,2019-12-03,28,23,2015.76,4,3,3,433,기타,2019-12
USER_0143,2019-10-24,68,36,4590.74,3,3,4,334,충성고객,2019-10
USER_0144,2019-01-17,348,3,890.3299999999999,1,1,2,112,기타,2019-01
USER_0145,2019-06-05,209,1,238.0,2,1,1,211,기타,2019-06
USER_0146,2019-06-02,212,58,3433.81,2,4,3,243,기타,2019-06
USER_0147,2019-11-12,49,46,5419.64,4,3,4,434,충성고객,2019-11
USER_0148,2019-04-06,269,2,34.15,1,1,1,111,이탈고객,2019-04
USER_0149,2019-09-07,115,66,3794.47,3,4,3,343,기타,2019-09
USER_0150,2019-05-06,239,1,1.2,1,1,1,111,이탈고객,2019-05
USER_0151,2019-08-31,122,17,1355.09,3,2,2,322,기타,2019-08
USER_0152,2019-11-29,32,2,228.0,4,1,1,411,기타,2019-11
USER_0153,2019-03-18,288,4,68.75999999999999,1,1,1,111,이탈고객,2019-03
USER_0154,2019-01-22,343,13,1123.9,1,2,2,122,기타,2019-01
USER_0155,2019-10-06,86,40,3916.58,3,3,3,333,기타,2019-10
USER_0156,2019-07-20,164,59,5963.99,2,4,4,244,충성고객,2019-07
USER_0157,2019-09-05,117,2,15.35,3,1,1,311,기타,2019-09
USER_0158,2019-06-11,203,17,297.3,2,2,1,221,기타,2019-06
USER_0159,2019-12-06,25,8,878.39,4,1,2,412,기타,2019-12
USER_0160,2019-06-29,185,2,19.38,2,1,1,211,기타,2019-06
USER_0161,2019-10-16,76,27,836.6,3,3,2,332,기타,2019-10
USER_0162,2019-08-08,145,6,192.24,2,1,1,211,기타,2019-08
USER_0163,2019-04-11,264,16,708.45,1,2,2,122,기타,2019-04
USER_0164,2019-07-06,178,14,1017.77,2,2,2,222,기타,2019-07
USER_0165,2019-10-27,65,36,4915.03,3,3,4,334,충성고객,2019-10
USER_0166,2019-10-12,80,20,883.55,3,2,2,322,기타,2019-10
USER_0167,2019-12-31,0,19,3002.01,4,2,3,423,기타,2019-12
USER_0168,2019-08-01,152,31,891.63,2,3,2,232,기타,2019-08
USER_0169,2019-04-11,264,16,592.91,1,2,1,121,기타,2019-04
USER_0170,2019-06-23,191,19,1452.08,2,2,2,222,기타,2019-06
USER_0171,2019-10-04,88,8,510.4,3,1,1,311,기타,2019-10
USER_0172,2019-12-19,12,47,3963.39,4,4,4,444,VIP고객,2019-12
USER_0173,2019-08-23,130,6,1163.22,3,1,2,312,기타,2019-08
USER_0174,2019-09-05,117,2,156.6,3,1,1,311,기타,2019-09
USER_0175,2019-12-14,17,3,556.55,4,1,1,411,기타,2019-12
USER_0176,2019-11-21,40,18,794.51,4,2,2,422,기타,2019-11
USER_0177,2019-04-24,251,11,846.3399999999999,1,2,2,122,기타,2019-04
USER_0178,2019-10-27,65,36,2565.35,3,3,3,333,기타,2019-10
USER_0179,2019-10-27,65,7,842.89,3,1,2,312,기타,2019-10
USER_0180,2019-11-10,51,72,5588.5,4,4,4,444,VIP고객,2019-11
USER_0181,2019-09-28,94,15,2103.55,3,2,3,323,기타,2019-09
USER_0182,2019-01-30,335,3,213.36,1,1,1,111,이탈고객,2019-01
USER_0183,2019-02-03,331,67,4567.33,1,4,4,144,놓치면 안되는 고객,2019-02
USER_0184,2019-06-13,201,8,1774.4899999999998,2,1,3,213,기타,2019-06
USER_0185,2019-07-07,177,6,167.75,2,1,1,211,기타,2019-07
USER_0186,2019-07-12,172,1,9.99,2,1,1,211,기타,2019-07
USER_0187,2019-03-15,291,60,2046.06,1,4,3,143,기타,2019-03
USER_0188,2019-06-27,187,11,607.0,2,2,1,221,기타,2019-06
USER_0189,2019-02-28,306,11,170.83,1,2,1,121,기타,2019-02
USER_0190,2019-12-18,13,44,3048.79,4,3,3,433,기타,2019-12
USER_0191,2019-09-06,116,40,3056.33,3,3,3,333,기타,2019-09
USER_0192,2019-10-27,65,7,221.17,3,1,1,311,기타,2019-10
USER_0193,2019-12-27,4,103,10409.81,4,4,4,444,VIP고객,2019-12
USER_0194,2019-09-06,116,9,179.95,3,1,1,311,기타,2019-09
USER_0195,2019-01-16,349,14,1435.23,1,2,2,122,기타,2019-01
USER_0196,2019-10-11,81,1,1.0,3,1,1,311,기타,2019-10
USER_0197,2019-12-28,3,138,8509.75,4,4,4,444,VIP고객,2019-12
USER_0198,2019-04-07,268,14,1519.96,1,2,2,122,기타,2019-04
USER_0199,2019-11-10,51,54,4112.0,4,4,4,444,VIP고객,2019-11
USER_0200,2019-08-31,122,261,19576.4,3,4,4,344,충성고객,2019-08
USER_0201,2019-07-24,160,7,1027.99,2,1,2,212,기타,2019-07
USER_0202,2019-12-11,20,366,27199.61,4,4,4,444,VIP고객,2019-12
USER_0203,2019-09-30,92,13,1329.28,3,2,2,322,기타,2019-09
USER_0204,2019-06-07,207,7,280.93,2,1,1,211,기타,2019-06
USER_0205,2019-12-12,19,143,11879.72,4,4,4,444,VIP고객,2019-12
USER_0206,2019-07-31,153,5,364.56,2,1,1,211,기타,2019-07
USER_0207,2019-07-26,158,52,2915.43,2,4,3,243,기타,2019-07
USER_0208,2019-11-03,58,21,2364.19,3,2,3,323,기타,2019-11
USER_0209,2019-12-24,7,93,8497.24,4,4,4,444,VIP고객,2019-12
USER_0210,2019-07-06,178,1,119.0,2,1,1,211,기타,2019-07
USER_0211,2019-09-04,118,23,2554.54,3,3,3,333,기타,2019-09
USER_0212,2019-01-18,347,10,460.98,1,1,1,111,이탈고객,2019-01
USER_0213,2019-12-10,21,20,959.95,4,2,2,422,기타,2019-12
USER_0214,2019-12-24,7,62,20537.74,4,4,4,444,VIP고객,2019-12
USER_0215,2019-08-01,152,2,242.12,2,1,1,211,기타,2019-08
USER_0216,2019-10-17,75,34,2001.12,3,3,3,333,기타,2019-10
USER_0217,2019-06-10,204,61,4320.82,2,4,4,244,충성고객,2019-06
USER_0218,2019-08-17,136,32,2224.09,2,3,3,233,기타,2019-08
USER_0219,2019-04-19,256,3,218.98,1,1,1,111,이탈고객,2019-04
USER_0220,2019-12-22,9,48,7423.92,4,4,4,444,VIP고객,2019-12
USER_0221,2019-01-26,339,14,1468.99,1,2,2,122,기타,2019-01
USER_0222,2019-04-07,268,16,413.53,1,2,1,121,기타,2019-04
USER_0223,2019-12-10,21,32,3194.9,4,3,3,433,기타,2019-12
USER_0224,2019-08-17,136,3,31.99,2,1,1,211,기타,2019-08
USER_0225,2019-01-30,335,1,16.5,1,1,1,111,이탈고객,2019-01
USER_0226,2019-11-25,36,130,17809.85,4,4,4,444,VIP고객,2019-11
USER_0227,2019-09-08,114,63,5652.58,3,4,4,344,충성고객,2019-09
USER_0228,2019-10-18,74,19,3252.19,3,2,3,323,기타,2019-10
USER_0229,2019-11-24,37,8,465.33,4,1,1,411,기타,2019-11
USER_0230,2019-08-22,131,40,3367.76,3,3,3,333,기타,2019-08
USER_0231,2019-07-14,170,13,809.44,2,2,2,222,기타,2019-07
USER_0232,2019-10-26,66,76,4892.71,3,4,4,344,충성고객,2019-10
USER_0233,2019-03-23,283,23,3603.51,1,3,3,133,기타,2019-03
USER_0234,2019-11-13,48,242,21689.27,4,4,4,444,VIP고객,2019-11
USER_0235,2019-05-25,220,32,1797.09,2,3,3,233,기타,2019-05
USER_0236,2019-08-07,146,20,1862.02,2,2,3,223,기타,2019-08
USER_0237,2019-08-01,152,37,1064.14,2,3,2,232,기타,2019-08
USER_0238,2019-10-24,68,77,5469.49,3,4,4,344,충성고객,2019-10
USER_0239,2019-12-13,18,16,1905.12,4,2,3,423,기타,2019-12
USER_0240,2019-12-20,11,26,2197.99,4,3,3,433,기타,2019-12
USER_0241,2019-09-12,110,21,343.87,3,2,1,321,기타,2019-09
USER_0242,2019-05-21,224,2,43.74,1,1,1,111,이탈고객,2019-05
USER_0243,2019-06-07,207,35,2318.21,2,3,3,233,기타,2019-06
USER_0244,2019-07-26,158,12,449.86,2,2,1,221,기타,2019-07
USER_0245,2019-12-20,11,85,9669.9,4,4,4,444,VIP고객,2019-12
USER_0246,2019-08-06,147,17,1299.1,2,2,2,222,기타,2019-08
USER_0247,2019-05-31,214,5,477.29,2,1,1,211,기타,2019-05
USER_0248,2019-04-14,261,21,1413.67,1,2,2,122,기타,2019-04
USER_0249,2019-09-13,109,40,2061.69,3,3,3,333,기타,2019-09
USER_0250,2019-07-19,165,16,427.61,2,2,1,221,기타,2019-07
USER_0251,2019-01-05,360,6,1281.9,1,1,2,112,기타,2019-01
USER_0252,2019-09-18,104,39,2531.7,3,3,3,333,기타,2019-09
USER_0253,2019-06-12,202,1,46.17,2,1,1,211,기타,2019-06
USER_0254,2019-08-23,130,46,16574.14,3,3,4,334,충성고객,2019-08
USER_0255,2019-05-18,227,28,2902.24,1,3,3,133,기타,2019-05
USER_0256,2019-04-07,268,1,79.0,1,1,1,111,이탈고객,2019-04
USER_0257,2019-11-15,46,78,8257.6,4,4,4,444,VIP고객,2019-11
USER_0258,2019-09-30,92,14,759.89,3,2,2,322,기타,2019-09
USER_0259,2019-06-05,209,11,744.84,2,2,2,222,기타,2019-06
USER_0260,2019-07-15,169,21,653.66,2,2,2,222,기타,2019-07
USER_0261,2019-01-20,345,5,465.24,1,1,1,111,이탈고객,2019-01
USER_0262,2019-12-23,8,34,4333.01,4,3,4,434,충성고객,2019-12
USER_0263,2019-10-23,69,29,2141.61,3,3,3,333,기타,2019-10
USER_0264,2019-07-16,168,17,409.9,2,2,1,221,기타,2019-07
USER_0265,2019-06-13,201,14,1181.77,2,2,2,222,기타,2019-06
USER_0266,2019-07-17,167,98,6227.05,2,4,4,244,충성고객,2019-07
USER_0267,2019-11-27,34,10,2008.38,4,1,3,413,기타,2019-11
USER_0268,2019-04-19,256,21,731.94,1,2,2,122,기타,2019-04
USER_0269,2019-11-13,48,17,2353.71,4,2,3,423,기타,2019-11
USER_0270,2019-07-08,176,9,577.38,2,1,1,211,기타,2019-07
USER_0271,2019-11-17,44,13,1339.02,4,2,2,422,기타,2019-11
USER_0272,2019-07-28,156,1,139.65,2,1,1,211,기타,2019-07
USER_0273,2019-07-08,176,19,1603.7,2,2,2,222,기타,2019-07
USER_0274,2019-04-08,267,44,3074.76,1,3,3,133,기타,2019-04
USER_0275,2019-08-30,123,35,3194.06,3,3,3,333,기타,2019-08
USER_0276,2019-12-16,15,16,1204.31,4,2,2,422,기타,2019-12
USER_0277,2019-11-27,34,16,2366.15,4,2,3,423,기타,2019-11
USER_0278,2019-07-18,166,8,521.92,2,1,1,211,기타,2019-07
USER_0279,2019-01-30,335,17,1338.56,1,2,2,122,기타,2019-01
USER_0280,2019-10-27,65,6,281.95,3,1,1,311,기타,2019-10
USER_0281,2019-11-29,32,78,7423.24,4,4,4,444,VIP고객,2019-11
USER_0282,2019-06-08,206,49,3672.73,2,4,3,243,기타,2019-06
USER_0283,2019-08-02,151,32,804.3,2,3,2,232,기타,2019-08
USER_0284,2019-05-21,224,36,2298.16,1,3,3,133,기타,2019-05
USER_0285,2019-08-11,142,48,1564.21,2,4,2,242,기타,2019-08
USER_0286,2019-09-04,118,36,3009.35,3,3,3,333,기타,2019-09
USER_0287,2019-09-18,104,87,3433.53,3,4,3,343,기타,2019-09
USER_0288,2019-12-12,19,79,8915.0,4,4,4,444,VIP고객,2019-12
USER_0289,2019-08-28,125,13,528.6800000000001,3,2,1,321,기타,2019-08
USER_0290,2019-03-16,290,1,2.8,1,1,1,111,이탈고객,2019-03
USER_0291,2019-07-12,172,11,262.91,2,2,1,221,기타,2019-07
USER_0292,2019-12-20,11,149,11318.88,4,4,4,444,VIP고객,2019-12
USER_0293,2019-12-12,19,42,3988.18,4,3,4,434,충성고객,2019-12
USER_0294,2019-12-06,25,18,1110.97,4,2,2,422,기타,2019-12
USER_0295,2019-06-05,209,26,1894.55,2,3,3,233,기타,2019-06
USER_0296,2019-06-21,193,27,1431.18,2,3,2,232,기타,2019-06
USER_0297,2019-03-06,300,10,907.82,1,1,2,112,기타,2019-03
USER_0298,2019-09-26,96,4,116.27,3,1,1,311,기타,2019-09
USER_0299,2019-12-02,29,29,3335.76,4,3,3,433,기타,2019-12
USER_0300,2019-09-22,100,31,3764.7,3,3,3,333,기타,2019-09
USER_0301,2019-04-06,269,30,1565.67,1,3,2,132,기타,2019-04
USER_0302,2019-09-08,114,5,41.95,3,1,1,311,기타,2019-09
USER_0303,2019-04-07,268,15,6470.26,1,2,4,124,기타,2019-04
USER_0304,2019-11-14,47,52,3487.87,4,4,3,443,기타,2019-11
USER_0305,2019-11-17,44,3,17.57,4,1,1,411,기타,2019-11
USER_0306,2019-12-19,12,11,1145.08,4,2,2,422,기타,2019-12
USER_0307,2019-10-16,76,4,1041.19,3,1,2,312,기타,2019-10
USER_0308,2019-11-17,44,8,286.97,4,1,1,411,기타,2019-11
USER_0309,2019-07-11,173,82,6967.63,2,4,4,244,충성고객,2019-07
USER_0310,2019-08-11,142,13,957.58,2,2,2,222,기타,2019-08
USER_0311,2019-03-21,285,24,1564.09,1,3,2,132,기타,2019-03
USER_0312,2019-12-14,17,34,1983.21,4,3,3,433,기타,2019-12
USER_0313,2019-03-02,304,9,481.54,1,1,1,111,이탈고객,2019-03
USER_0314,2019-12-19,12,10,898.59,4,1,2,412,기타,2019-12
USER_0315,2019-12-29,2,24,2849.45,4,3,3,433,기타,2019-12
USER_0316,2019-08-07,146,39,1788.43,2,3,3,233,기타,2019-08
USER_0317,2019-09-04,118,30,1476.54,3,3,2,332,기타,2019-09
USER_0318,2019-12-02,29,19,2783.7200000000003,4,2,3,423,기타,2019-12
USER_0319,2019-12-06,25,3,362.87,4,1,1,411,기타,2019-12
USER_0320,2019-06-03,211,15,1068.84,2,2,2,222,기타,2019-06
USER_0321,2019-08-28,125,9,562.34,3,1,1,311,기타,2019-08
USER_0322,2019-11-27,34,24,1871.68,4,3,3,433,기타,2019-11
USER_0323,2019-06-25,189,20,1873.21,2,2,3,223,기타,2019-06
USER_0324,2019-12-10,21,8,1083.51,4,1,2,412,기타,2019-12
USER_0325,2019-09-06,116,38,1073.05,3,3,2,332,기타,2019-09
USER_0326,2019-04-07,268,15,486.0700000000001,1,2,1,121,기타,2019-04
USER_0327,2019-03-04,302,18,401.8,1,2,1,121,기타,2019-03
USER_0328,2019-07-31,153,31,1383.23,2,3,2,232,기타,2019-07
USER_0329,2019-10-07,85,62,4186.96,3,4,4,344,충성고객,2019-10
USER_0330,2019-12-19,12,61,4401.14,4,4,4,444,VIP고객,2019-12
USER_0331,2019-08-19,134,6,216.14,2,1,1,211,기타,2019-08
USER_0332,2019-08-02,151,91,5989.11,2,4,4,244,충성고객,2019-08
USER_0333,2019-09-18,104,4,36.35,3,1,1,311,기타,2019-09
USER_0334,2019-12-20,11,104,5465.3,4,4,4,444,VIP고객,2019-12
USER_0335,2019-09-06,116,26,1283.58,3,3,2,332,기타,2019-09
USER_0336,2019-10-23,69,1,238.0,3,1,1,311,기타,2019-10
USER_0337,2019-01-03,362,10,1277.71,1,1,2,112,기타,2019-01
USER_0338,2019-11-20,41,32,4036.45,4,3,4,434,충성고객,2019-11
USER_0339,2019-11-21,40,31,2595.13,4,3,3,433,기타,2019-11
USER_0340,2019-08-01,152,100,6904.99,2,4,4,244,충성고객,2019-08
USER_0341,2019-12-23,8,41,4732.92,4,3,4,434,충성고객,2019-12
USER_0342,2019-12-12,19,9,963.4,4,1,2,412,기타,2019-12
USER_0343,2019-10-11,81,96,8242.94,3,4,4,344,충성고객,2019-10
USER_0344,2019-01-03,362,1,153.71,1,1,1,111,이탈고객,2019-01
USER_0345,2019-01-01,364,1,1.24,1,1,1,111,이탈고객,2019-01
USER_0346,2019-08-02,151,1,2.79,2,1,1,211,기타,2019-08
USER_0347,2019-11-03,58,8,962.72,3,1,2,312,기타,2019-11
USER_0348,2019-06-13,201,16,1674.43,2,2,2,222,기타,2019-06
USER_0349,2019-08-08,145,33,2027.1,2,3,3,233,기타,2019-08
USER_0350,2019-07-30,154,69,3984.48,2,4,4,244,충성고객,2019-07
USER_0351,2019-08-16,137,73,5142.18,2,4,4,244,충성고객,2019-08
USER_0352,2019-10-05,87,32,3330.01,3,3,3,333,기타,2019-10
USER_0353,2019-12-13,18,67,6817.96,4,4,4,444,VIP고객,2019-12
USER_0354,2019-09-05,117,36,3168.75,3,3,3,333,기타,2019-09
USER_0355,2019-12-08,23,6,280.68,4,1,1,411,기타,2019-12
USER_0356,2019-03-23,283,7,359.32,1,1,1,111,이탈고객,2019-03
USER_0357,2019-05-01,244,7,361.93,1,1,1,111,이탈고객,2019-05
USER_0358,2019-10-11,81,123,9735.58,3,4,4,344,충성고객,2019-10
